,DegreeCentrality,Betweenness,Closeness
BlueJays,0.0026246719160104987,0.0,0.0034995625546806646
jjvincent,0.0026246719160104987,0.0,0.0034995625546806646
mattdgonzalez,0.0026246719160104987,0.0,0.0034995625546806646
SamMobiles,0.0026246719160104987,0.0,0.0034995625546806646
Frankie_Hobbs,0.0026246719160104987,0.0,0.0034995625546806646
Bitdefender,0.0026246719160104987,0.0,0.0034995625546806646
Fwiz,0.0026246719160104987,0.0,0.0034995625546806646
themusicbed,0.0026246719160104987,0.0,0.0034995625546806646
WixPartners,0.0026246719160104987,0.0,0.0034995625546806646
gbuhnici,0.0026246719160104987,0.0,0.0034995625546806646
GoogleStadia,0.0026246719160104987,0.0,0.0034995625546806646
Daniel_Rubino,0.0026246719160104987,0.0,0.0034995625546806646
iamRashmika,0.05511811023622047,0.0001381406271584473,0.0026246719160104987
prabhu_sr,0.0026246719160104987,0.0,0.0034995625546806646
nagashwin7,0.0026246719160104987,0.0,0.0034995625546806646
SharathWho,0.0026246719160104987,0.0,0.0034995625546806646
UKinHyderabad,0.0026246719160104987,0.0,0.0034995625546806646
rama_rajeswari,0.0026246719160104987,0.0,0.0034995625546806646
nalrag,0.0026246719160104987,0.0,0.0034995625546806646
Andrew007Uk,0.0026246719160104987,0.0,0.0034995625546806646
bharatkamma,0.0026246719160104987,0.0,0.0034995625546806646
crushqueen_fc,0.0026246719160104987,0.0,0.0034995625546806646
Karthi_Offl,0.0026246719160104987,0.0,0.0034995625546806646
AnilRavipudi,0.0026246719160104987,0.0,0.0034995625546806646
Rashmika_f_c,0.0026246719160104987,0.0,0.0034995625546806646
RashmikaTamilFC,0.0026246719160104987,0.0,0.0034995625546806646
RashmikaHearts,0.0026246719160104987,0.0,0.0034995625546806646
alluarjun,0.0026246719160104987,0.0,0.0034995625546806646
vamsi84,0.0026246719160104987,0.0,0.0034995625546806646
SitharaEnts,0.0026246719160104987,0.0,0.0034995625546806646
iamRashmika_FC,0.0026246719160104987,0.0,0.0034995625546806646
anupamahere,0.0026246719160104987,0.0,0.0034995625546806646
RamuMalashree,0.0026246719160104987,0.0,0.0034995625546806646
SamyukthaHegde,0.05774278215223097,0.0002440484413132569,0.005249343832020997
arjunk26,0.005249343832020997,0.0,0.006999125109361329
SadhguruJV,0.005249343832020997,0.0,0.006999125109361329
ishafoundation,0.0026246719160104987,0.0,0.004724409448818898
Suriya_offl,0.005249343832020997,0.0,0.006999125109361329
Pvsindhu1,0.0026246719160104987,0.0,0.004724409448818898
VelsFilmIntl,0.0026246719160104987,0.0,0.004724409448818898
Richardmnathan,0.0026246719160104987,0.0,0.004724409448818898
ayushmannk,0.007874015748031496,0.0,0.009373828271466067
iYogiBabu,0.0026246719160104987,0.0,0.004724409448818898
iamactorvarun,0.0026246719160104987,0.0,0.004724409448818898
Actorjiiva,0.0026246719160104987,0.0,0.004724409448818898
anirudhofficial,0.0026246719160104987,0.0,0.004724409448818898
hiphoptamizha,0.0026246719160104987,0.0,0.004724409448818898
MsKajalAggarwal,0.05774278215223097,0.00026246719160104987,0.005249343832020997
TheSanjithhegde,0.0026246719160104987,0.0,0.004724409448818898
AshikaRanganath,0.0026246719160104987,0.0,0.004724409448818898
Asli_Jacqueline,0.0026246719160104987,0.0,0.004724409448818898
dulQuer,0.005249343832020997,0.0,0.006999125109361329
VJAnusha,0.0026246719160104987,0.0,0.004724409448818898
TheNameIsYash,0.0026246719160104987,0.0,0.004724409448818898
geekyranjit,0.03937007874015748,9.669843901091311e-05,0.0026246719160104987
MKBHD,0.0026246719160104987,0.0,0.0034995625546806646
zollotech,0.0026246719160104987,0.0,0.0034995625546806646
Jon4Lakers,0.0026246719160104987,0.0,0.0034995625546806646
verified,0.0026246719160104987,0.0,0.0034995625546806646
TechQuotesDaily,0.0026246719160104987,0.0,0.0034995625546806646
GoogleIndia,0.0026246719160104987,0.0,0.0034995625546806646
shilpa_keswani,0.0026246719160104987,0.0,0.0034995625546806646
